Sample.ID,latitude_north,longitude_east,site,crop,crop_group
S_0402,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0403,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0404,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0405,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0406,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0407,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0408,34.68,136.4172,Tsu,Cabbage,Vegetables
S_0409,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0410,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0411,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0412,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0413,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0414,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0415,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0416,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0417,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0418,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0419,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0420,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0421,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0422,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0423,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0424,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0425,34.7489,137.4311,Toyohashi,Cabbage,Vegetables
S_0426,34.7489,137.4311,Toyohashi,Cabbage,Vegetables
S_0427,34.7489,137.4311,Toyohashi,Cabbage,Vegetables
S_0428,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0429,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0430,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0431,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0432,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0433,34.7489,137.4311,Toyohashi,Cabbage,Vegetables
S_0434,34.7489,137.4311,Toyohashi,Cabbage,Vegetables
S_0435,34.7489,137.4311,Toyohashi,Cabbage,Vegetables
S_0436,34.7489,137.4311,Toyohashi,Cabbage,Vegetables
S_0437,34.7489,137.4311,Toyohashi,Cabbage,Vegetables
S_0438,34.7489,137.4311,Toyohashi,Cabbage,Vegetables
S_0439,34.7489,137.4311,Toyohashi,Cabbage,Vegetables
S_0440,34.7489,137.4311,Toyohashi,Cabbage,Vegetables
S_0441,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0442,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0443,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0444,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0445,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0446,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0447,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0448,34.7489,137.4311,Toyohashi,Cabbage,Vegetables
S_0449,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0450,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0451,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0452,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0453,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0454,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0455,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0456,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0457,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0458,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0459,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0460,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0461,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0462,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0463,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0464,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0465,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0466,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0467,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0468,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0469,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0470,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0471,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0472,36.0294,140.1036,Tsukuba,Cabbage,Vegetables
S_0473,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0474,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0475,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0476,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0477,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0478,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0479,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0480,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0481,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0482,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0483,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0484,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0485,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0486,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0487,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0488,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0489,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0490,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0491,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0492,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0493,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0494,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0495,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0496,34.7508,137.4381,Toyohashi,Cabbage,Vegetables
S_0497,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0498,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0499,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0500,37.7108,140.3903,Fukushima,Cabbage,Vegetables
S_0501,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0502,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0503,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0504,34.6311,136.4903,Matsuzaka,Cabbage,Vegetables
S_0505,37.7108,140.3903,Fukushima,Spinach,Vegetables
